id,review_id,stars,text,sentiment
1587563,vuybyrZwb4j9C2tdG5sx4A,5.0,"Really enjoyed this bar. Bartenders are attentive and fast and make a great drink. Band was awesome and the atmosphere was great, my entire group had a really great time. Those who wanted to dance could dance and those that wanted to chill had room to do so. I also loved that the band didn't just play country music like every other bar on Broadway. Great bar, I will go back when I'm back in town.",POS
667670,R7pY534qaeWLl411-K-8BQ,5.0,"The food is exxxxcellent! We got a whole array of things. Both gyoza were great, rock shrimp was my favorite, edamame was great, calamari was ok, miso soup was tasty, AC roll was good, grinch roll was pretty good. If I were local I'd return all the time. It's BYOB which we knew ahead of time so we came fully stocked lol",POS
1900971,OOXZBUss-A58j0usM2hueQ,2.0,"We decided to give twisted tree another try for lunch. Unfortunately they took a giant step backwards in regards to food quality. Our server was very nice and very attentive and I felt bad that we had to make so many requests of her.

We got there before noon and for some reason they sat us next to a large table of ladies all of whom were speaking very loudly. On top of that, they put us under a speaker and the music was also very loud. Strange to have music that loud during lunchtime. I asked our server to please ask them to turn down the music. They eventually accommodated the request but the table next to us was still very loud. 

Now for the food issues. I ordered a cheeseburger medium rare but they told me that the patties come ""pre-pressed and the best we can do was medium."" I wasn't quite sure what that meant but once I saw my food I understood. My burger was essentially a very sloppy steak burger looking presentation. So the meet was very watery.

My wife's salad was an odd combination of chopped up lettuce and a couple of other greens. She asked for no chicken with the salad but they gave it to her anyway. Then the chicken had been on a very dirty grill so the char on the outside had an extremely strong bad smell. I actually thought our waiter had a body odor issue until I realized it was the meat. It took several minutes before we could flag down the waitress and ask her to take the horrible smelling chicken away. She even admitted it was really bad. 

We probably won't go back again.",NEG
179357,3-XMDGF_GjnVbduI1NSMeQ,5.0,"YBOR Eats is awesome. Great food, fresh and delicious. The staff is the best, very welcoming. It's like going to eat at a friend or families house. I'm a mail carrier in the area and they treat us with such care and appreciation, it means a lot!",POS
3934950,H4CcDy5Dl_J8AROh6hFYhQ,4.0,"Great dive bar! If you love bar food, beer, and hockey, you can't go wrong. I recently stopped by this place for the first time for a St. Patty's Day meal and to watch the Sabres/Blues game. Felisha was our server and she was amazing!!! The restaurant was packed and she was the only server on at the time. We never once felt looked over or forgotten about. I've never felt so taken care of by a server before. We got a few buckets of beer and she always seemed to swing by just as we ran out to get us another one. Food was alright but we weren't expecting a 5 star meal. Overall, a great experience. I took off one star just because it is a smoking bar. As long as you're cool with that, it's a great local bar that I'm happy to support! Go Sabres!",POS
6262539,tnXqqM-G2XOe9cTfFVXKNg,4.0,"4.5 This is a great place to shop! This place can be easy to miss as its location is a little back off the street, but once you found it, you'll be so glad! 

There are always so many unique styles and decor items, someone can really go crazy in a store like this! 

The prices for certain items are often very reasonable, such as tiles of all shapes and colors. The furniture can rare from affordable to very expensive, but all seem to be good quality.

The only reason I didn't give it 5 stars, is the layout changes and often certain areas are closed, which can make it difficult to navigate.

Check it out - you'll be glad you did!",POS
2908355,4rxvp192FqWJQvk-1ONCjA,5.0,"Everything was delicious, nice/cozy atmosphere, super friendly wait staff and all at a reasonable price point.  Go mid week for no waiting time.  Dipping sauces were flavorful, but the rice and veggies with the Hibachi was even better!  UPDATE: visited again and still up to snuff. Good food, good show.  Recommended.",POS
4388007,cBfmnkSYRLuQKvQh_8svQQ,4.0,"Service was fast and friendly. We ordered the Fajitas for two (Chicken, steak & chicken) there was enough for 4 people! Salsa is also delicious!",POS
6578631,NpcfiKverA2d-JHtomNCLg,5.0,"WOW!  What a surprise.  From Anthony to my installers...the best.  Floyd and Yovani were spot on from the moment they walked into my home.  You are treated like family. The granite looked magnificent, replacing a worn, black granite that made my kitchen look dull and dark.  I would NEVER deal with any other company.  I don't believe that there is a better place for granite and quartz installation than IGS.",POS
3133882,qZEws4GRy60ufFgj9d82dg,4.0,Tasty healthy food is served here. From farm to table. It was within an easy walk from my hotel. I welcomed a bowl of jambolia and a bowl of mixed veggies. Quite content I was. I look forward to coming here again in the future when I visit New Orleans with my family.,POS
360058,2HcFcssLTC5qhD6L8TpuAA,5.0,Great food and ice cream! I had the bison burger and it was cooked to perfection with a great chargrill on it. Good drink selection as well. Good for large groups at the community table.,POS
3393249,uYAH5HMcTojkd8TR4_dMxw,5.0,"Amazing embroidery that lasts through multiple washings. Always kind and have very reasonable prices. They have embroidered everything from special t-shirts to dance bags, patches on jerseys to warm-ups and of course, a varsity jacket.",POS
2473759,Xn5V7PHOAMH1--xviYR5rw,5.0,My husband and I were looking for somewhere different to eat when we came across Maggie's.  It was our server's (Juliana) first day.  You would never know it.  Service was FANTASTIC. Food was excellent.  Fresh.  My daughter had a filet mignon.  A sports bar really isn't a place where i would order that.  It was done perfectly and was tender with no fat.  The menu is extensive.  Will definitely be back.,POS
5550049,htBsML9EScA8FCEyfhx4_A,4.0,"Great experience.  Came for dinner on a Tuesday night; non-hockey game night.  Plenty of seating, hostess and waitress were friendly and checked up on our table frequently.  Food was good to include the nachos and the wings.  Quick service too.",POS
2859430,YUAQ5i6DyyuBAxA8aY53xw,1.0,"Terrible and take out service took forever.  Super dry and thin crust.  My pocket bread looks nothing like the other pics.  Dry, uncut and no sauce.",NEG
5180085,mKtpZI84eQrPkVbWiXw-uA,4.0,"The salsa here today was trash, not normal for this place. Normally it's great. Chips were stale. 
On the other hand, service was great, giving is refills immediately on everything, that's a big plus.
The food as always been incredible, I got the burrito loco (vegetable) and it was all cooked to perfection. Absolutely awesome. Over all I would recommend this place to Mexican food lovers and I'll be back",POS
104973,Y9QfhUAy2CVWx7GYlSEQ9w,5.0,"Walking into this establishment the decor is eclectic which is awesome. I just love the little bar stools at the counter. Extremely kid friendly. The guy who made my to die for mango strawberry bubble tea with tapioca and strawberry popping bubbles (you know strangely enough I've never had popping bubbles before) is awesome and super friendly.  I'd say this place is a winner with some of the most delicious  bubble tea and ridiculously warm service . Will definitely be back.

UPDATE:  Still craving their bubble tea three days after. Bubble tea was obliterated so fast that I didn't get to take a picture lol. I NEED MORE IN MY LIFE! Also I ordered a buffalo chicken wrap which was grilled (faaaancee!) and delicious but according to the signs in the shop and host most people get and enjoy the Cesar wrap.",POS
3157146,Ab9eaVeoRJ37JesUzgoI3w,5.0,"Absolutely tremendous! Scallops with bacon jam were to die for! Copper river salmon (special) over seafood risotto was great. Even the ladies room with a sea salt scrub was awesome
Best meal we had in town !",POS
5733955,KWHgCTd2-_Jj10G-AFUpvQ,1.0,What happened here ...it's tragic...first time I visited..good..second time worse..third time..yikes! I won't be going back. Something has deffinately happened here..not in a good way.,NEG
4948363,BfqX9gcueHuyhu9v9GczAw,5.0,Valentine's Day evening ...excellent food and superb service. The server and manager were so observant and attentive to our needs more so than we were lol . Everything was simply Excellent,POS
896460,6aL7xXhLtMzQ_3l_U-t1EQ,4.0,The muffaletta was awesome!  Substituted a caesar salad for the fries and it made a very filling tasty meal.  We redeemed the free appetizer for our check in and tried out the Bourdin (sp?) which is something none of our group had ever had.  It was loved by the whole group which included 8 teens!  My daughter (15) tried the New Orleans sampler and LOVED the crawfish Ettouffe!  We were also very pleased at how quickly they accomodated our group of 11 and how quickly we were served.  Great place and I would make it a point to stop there again if we are ever in New Orleans.,POS
1090092,TmKaDjpcufpuBolfM-xJwA,4.0,Pretty cool spot in Indianapolis.  Very much a bar vibe but with restaurant quality food.  The chicken is pretty good especially with the honey.  My favorite is the mac and cheese!  I'd actually recommend that and everything else on the menu!!  Great spot that never disappoints.  The service there is always great too!!,POS
2410100,feBHwnhYPPb6LBO2l6XjhA,3.0,"Came here during Restaurant Week and was a little nervous given the mixed reviews. My friend and I decided to forgo the RW menu and opted to split a few small plates instead, which I think ended up being the better choice.

We got the Duck Fat Fries, Scallops and Pan Seared Salmon. It was also my second time trying oysters and I have to say this place does them right .The vinaigrette that came with them was delicious - I could have eaten a dozen and been satisfied.

Fries were ok, nothing special. The scallops themselves were delicious but they were served with watermelon (an odd choice). Salmon was delicious as well and the sauce that came with it was dreamy. 

Overall, I would come again for Happy Hour Oysters and a few other dishes, but it's not my favorite seafood spot in the city by far.",NEU
6064452,KNV7z9RQHE3-zpTD20Jj8g,5.0,What a selection...85 beers to try! Crazy! Self serve so you can try before you commit to a full glass. The staff are super nice and knowledgeable...my new fav hangout!!!,POS
